"BehaviorSpace results (NetLogo 6.1.1)"
"proyecto.nlogo"
"Experimento 1"
"12/08/2019 17:59:11:179 -0600"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","200","0","200"
"[run number]","1","2","3","4","5","6","7","8","9","10","11","12"
"r-a","2","2","2","2","2","2","2","2","2","2","2","2"
"r-s","60","60","60","60","60","60","60","60","60","60","60","60"
"k","18","18","18","18","18","18","18","18","18","18","18","18"
"radio-revision","80","80","80","80","80","80","80","80","80","80","80","80"
"num-sheeps","50","50","50","100","100","100","150","150","150","200","200","200"
"num-trees","25","50","100","25","50","100","25","50","100","25","50","100"
"[steps]","1050","2119","3589","1696","2208","17087","556","978","7097","5604","2856","20860"

"[initial & final values]","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks"
,"1050","2119","3589","1696","2208","17087","556","978","7097","5604","2856","20860"
